Currency,Iphone-14pro,Iphone-14promax
AED,3669.35,4036.65
AFN,87280.72,96017.53
ALL,116966.74,128675.12
AMD,400583.29,440681.72
ANG,1790.58,1969.82
AOA,479780.99,527807.11
ARS,155230.37,170768.94
AUD,1540.41,1694.6
AWG,1798.2,1978.2
AZN,1696.72,1866.56
BAM,1938.63,2132.68
BBD,2006.06,2206.87
BDT,100812.32,110903.65
BGN,1938.12,2132.13
BHD,376.57,414.26
BIF,2054187.59,2259811.97
BMD,999.0,1099.0
BND,1398.44,1538.43
BOB,6865.15,7552.35
BRL,5379.52,5918.01
BSD,993.51,1092.96
BTC,0.05,0.05
BTN,81492.48,89649.88
BWP,13212.19,14534.73
BYN,2520.19,2772.46
BYR,19580400.0,21540400.0
BZD,2002.69,2203.16
CAD,1356.04,1491.78
CDF,2002995.22,2203495.25
CHF,987.49,1086.34
CLF,34.44,37.89
CLP,950299.11,1045424.14
CNY,7204.98,7926.2
COP,4879185.93,5367592.93
CRC,619509.76,681522.74
CUC,999.0,1099.0
CUP,26473.5,29123.5
CVE,109297.3,120237.97
CZK,24350.92,26788.45
DJF,176875.74,194581.02
DKK,7389.4,8129.08
DOP,53533.17,58891.84
DZD,139921.96,153928.17
EGP,19679.56,21649.49
ERN,14985.0,16485.0
ETB,52622.3,57889.79
EUR,993.46,1092.9
FJD,2274.67,2502.37
FKP,881.64,969.89
GBP,861.66,947.91
GEL,2772.21,3049.71
GGP,881.64,969.89
GHS,13909.25,15301.57
GIP,881.64,969.89
GMD,57991.84,63796.83
GNF,8566921.52,9424471.23
GTQ,7789.23,8568.94
GYD,207859.64,228666.41
HKD,7841.16,8626.06
HNL,24560.53,27019.04
HRK,7482.71,8231.73
HTG,126684.14,139365.23
HUF,406832.44,447556.4
IDR,15541892.55,17097637.55
ILS,3491.18,3840.64
IMP,881.64,969.89
INR,82304.66,90543.37
IQD,1450041.54,1595190.85
IRR,42357599.95,46597599.94
ISK,142367.61,156618.62
JEP,881.64,969.89
JMD,152263.41,167504.99
JOD,708.31,779.21
JPY,145617.74,160194.09
KES,121228.92,133363.94
KGS,82636.58,90908.51
KHR,4112538.1,4524203.58
KMF,488012.97,536863.12
KPW,899099.86,989099.85
KRW,1417021.77,1558865.79
KWD,309.04,339.98
KYD,827.98,910.86
KZT,465513.07,512110.98
LAK,17195525.46,18916799.28
LBP,1502397.99,1652788.18
LKR,363134.69,399484.51
LRD,153396.39,168751.39
LSL,17697.27,19468.77
LTL,2949.79,3245.06
LVL,604.29,664.77
LYD,4987.39,5486.63
MAD,10792.44,11872.76
MDL,19224.59,21148.97
MGA,4245882.58,4670895.85
MKD,61073.65,67187.13
MMK,2086409.82,2295259.65
MNT,3356415.39,3692392.9
MOP,8032.58,8836.64
MRO,356642.83,392342.81
MUR,43753.49,48133.22
MVR,15374.5,16913.49
MWK,1019772.5,1121851.83
MXN,19974.73,21974.2
MYR,4708.24,5179.53
MZN,63766.31,70149.33
NAD,18056.96,19864.46
NGN,436613.25,480318.28
NIO,35764.39,39344.41
NOK,10274.89,11303.41
NPR,130392.74,143445.07
NZD,1711.57,1882.89
OMR,384.59,423.09
PAB,993.49,1092.94
PEN,3963.61,4360.36
PGK,3500.84,3851.28
PHP,58133.31,63952.46
PKR,219323.53,241277.84
PLN,4723.82,5196.68
PYG,7190111.77,7909842.68
QAR,3637.61,4001.73
RON,4842.35,5327.07
RSD,116523.81,128187.86
RUB,61563.38,67725.88
RWF,1059797.92,1165883.8
SAR,3755.11,4131.0
SBD,8185.48,9004.85
SCR,12892.92,14183.5
SDG,572922.78,630272.41
SEK,10886.14,11975.85
SGD,1405.33,1546.01
SHP,1376.02,1513.76
SLL,18506474.62,20358974.59
SOS,567924.47,624773.77
SRD,28885.58,31777.03
STD,20677283.03,22747081.13
SVC,8693.12,9563.3
SYP,2510017.5,2761270.51
SZL,17909.0,19701.69
THB,37680.78,41452.63
TJS,10009.68,11011.64
TMT,3496.5,3846.5
TND,3208.78,3529.98
TOP,2409.44,2650.62
TRY,18584.36,20444.66
TTD,6740.95,7415.72
TWD,31931.54,35127.89
TZS,2329668.36,2562868.39
UAH,36693.46,40366.47
UGX,3790241.75,4169645.33
USD,999.0,1099.0
UYU,40952.41,45051.75
UZS,11056566.77,12163330.21
VND,24805170.0,27288170.0
VUV,125024.74,137539.73
WST,2842.09,3126.59
XAF,650213.13,715299.52
XAG,51.26,56.4
XAU,0.6,0.66
XCD,2699.85,2970.1
XDR,777.43,855.25
XOF,650206.67,715292.43
XPF,119415.47,131368.97
YER,249999.96,275024.98
ZAR,17946.34,19742.77
ZMK,8992202.01,9892322.33
ZMW,15970.96,17569.65
ZWL,321677.59,353877.55
