,Song,Artist,Writer,Album,Year
0,You're Not Sorry,Taylor Swift,Taylor Swift,Fearless and Fearless (Taylor's Version),2008 and 2021
1,You Need to Calm Down,Taylor Swift,Taylor Swift  Joel Little,Lover,2019
2,"You're on Your Own, Kid",Taylor Swift,Taylor Swift  Jack Antonoff,Midnights,2022
3,You'll Always Find Your Way Back Home,Miley Cyrus,Taylor SwiftMartin Johnson,Hannah Montana: The Movie,2008
4,You Belong with Me,Taylor Swift,Taylor Swift  Liz Rose,Fearless and Fearless (Taylor's Version),2008 and 2021
5,You Are in Love,Taylor Swift,Taylor SwiftJack Antonoff,1989(Deluxe edition),2014
6,You All Over Me,Taylor Swift featuring Maren Morris,Taylor SwiftScooter Carusoe,Fearless (Taylor's Version),2021
7,"Would've, Could've, Should've",Taylor Swift,Taylor Swift  Aaron Dessner,Midnights (3am Edition),2022
8,Wonderland,Taylor Swift,Taylor SwiftMax MartinShellback,1989(Deluxe edition),2014
9,Willow,Taylor Swift,Taylor Swift  Aaron Dessner,Evermore,2020
10,Wildest Dreams,Taylor Swift,Taylor SwiftMax MartinShellback,1989  TBA,2014 and 2021
11,White Horse,Taylor Swift,Taylor Swift  Liz Rose,Fearless and Fearless (Taylor's Version),2008 and 2021
12,White Christmas (cover),Taylor Swift,Irving Berlin,Sounds of the Season,2007
13,We Were Happy,Taylor Swift  featuring Keith Urban,Taylor Swift  Liz Rose,Fearless (Taylor's Version),2021
14,Welcome to New York,Taylor Swift,Taylor Swift  Ryan Tedder,1989,2014
15,We Are Never Ever Getting Back Together,Taylor Swift,Taylor Swift  Max Martin  Shellback,Red and Red (Taylor's Version),2012 and 2021
16,The Way I Loved You,Taylor Swift,Taylor Swift  John Rich,Fearless and Fearless (Taylor's Version),2008 and 2021
17,Vigilante Shit,Taylor Swift,Taylor Swift,Midnights,2022
18,The Very First Night,Taylor Swift,Taylor Swift  Amund Bjørklund  Espen Lind,Red (Taylor's Version),2021
19,Untouchable,Taylor Swift,Cary Barlowe  Nathan Barlowe  Tommy Lee James  Taylor Swift[h],Fearless (Platinum edition) and Fearless (Taylor's Version),2009 and 2021
20,Umbrella (live cover),Taylor Swift,"Christopher ""Tricky"" Stewart  Terius ""Dream"" Nash  Thaddis Harrell  Shawn Carter",iTunes Live from SoHo,2008
21,Two Is Better Than One,Boys Like Girls  featuring Taylor Swift,Martin JohnsonTaylor Swift,Love Drunk,2009
22,Treacherous,Taylor Swift,Taylor Swift  Dan Wilson,Red and Red (Taylor's Version),2012 and 2021
23,Tolerate It,Taylor Swift,Taylor Swift  Aaron Dessner,Evermore,2020
24,Today Was a Fairytale,Taylor Swift,Taylor Swift,Valentine's Day[g] and Fearless (Taylor's Version),2010 and 2021
25,'Tis the Damn Season,Taylor Swift,Taylor Swift  Aaron Dessner,Evermore,2020
26,Tim McGraw,Taylor Swift,Taylor Swift  Liz Rose,Taylor Swift,2006
27,Tied Together with a Smile,Taylor Swift,Taylor Swift  Liz Rose,Taylor Swift,2006
28,This Love,Taylor Swift,Taylor Swift,1989  TBA,2014 and 2022
29,This Is Why We Can't Have Nice Things,Taylor Swift,Taylor Swift  Jack Antonoff,Reputation,2017
30,This is What You Came For,Calvin Harris and Rihanna,Calvin HarrisTaylor Swift[f],Non-album single,2016
31,This Is Me Trying,Taylor Swift,Taylor SwiftJack Antonoff,Folklore,2020
32,That's When,Taylor Swift  featuring Keith Urban,Taylor Swift  Brad Warren  Brett Warren,Fearless (Taylor's Version),2021
33,Tell Me Why,Taylor Swift,Taylor Swift  Liz Rose,Fearless and Fearless (Taylor's Version),2008 and 2021
34,Teardrops on My Guitar,Taylor Swift,Taylor Swift  Liz Rose,Taylor Swift,2006
35,Sweeter than Fiction,Taylor Swift,Taylor Swift  Jack Antonoff,One Chance Soundtrack,2013
36,Sweet Nothing,Taylor Swift,Taylor Swift  William Bowery,Midnights,2022
37,Superstar,Taylor Swift,Taylor Swift,Fearless (Platinum edition) and Fearless (Taylor's Version),2009 and 2021
38,Superman,Taylor Swift,Taylor Swift,Speak Now  (Deluxe edition),2010
39,Style,Taylor Swift,Taylor SwiftMax MartinShellbackAli Payami,1989,2014
40,The Story of Us,Taylor Swift,Taylor Swift,Speak Now,2010
41,Stay Stay Stay,Taylor Swift,Taylor Swift,Red and Red (Taylor's Version),2012 and 2021
